tamil,transliterated,colloquial
ஆரம்பகாலப் பாடல்கள் தமிழகத்திலிருந்தே வெளிவந்தன.,ārambagālap pāḍalgaḷ thamizhagathilirundhē veḷivandhaṉa.
"இது இலங்கை தொடருந்து வலையமைப்பின் கொழும்பு-பேராதனை-பதுளை பாதையில் மீரிகமை, பொல்காவளை சந்தி தொடருந்து நிலையங்களுக்கிடயே அமைந்துள்ளது.","idhŭ ilaṅgai thoḍarundhŭ valaiyamaippiṉ kozhumbu-pērādhaṉai-padhuḷai pādhaiyil mīrigamai, polgāvaḷai chandhi thoḍarundhŭ nilaiyaṅgaḷukkiḍayē amaindhuḷḷadhu."
"விண்மீன் தோற்ற நீல மாணிக்கமும், மாணிக்கமும் அவற்றிற்கான பிரகாச ஒளியை அவற்றில் இடம்பெற்றுள்ள தைட்டானியம் டை ஆக்சைடு மாசுக்களில் இருந்தே பெறுகின்றன.","viṇmīṉ thōṯṟa nīla māṇikkamum, māṇikkamum avaṯṟiṟkāṉa piragāsa oḷiyai avaṯṟil iḍambeṯṟuḷḷa thaiṭṭāṉiyam ṭai ākchaiḍŭ māsukkaḷil irundhē peṟugiṉḏraṉa."
"இந்திய 2001 மக்கள் தொகை கணக்கெடுப்பின்படி 23,159 மக்கள் இங்கு வசிக்கின்றார்கள்.","indhiya 2001 makkaḷ thogai kaṇakkeḍuppiṉbaḍi 23,159 makkaḷ iṅgŭ vasikkiṉḏrārgaḷ."
இருப்பினும் வித்தியாசமான மனிதர்களின் திறமைகளால் கணினி-மாந்த இடைத்தொடர்பு என்பது சவாலான விடயமாக கருதப்படுகிறது.,iruppiṉum vithiyāsamāṉa maṉidhargaḷiṉ thiṟamaigaḷāl kaṇiṉi-māndha iḍaithoḍarbŭ yeṉbadhŭ chavālāṉa viḍayamāga karudhappaḍugiṟadhu.
விடுதலைப் புலிகள் தமது கட்டுப்பாட்டுப் பகுதிக்குத் தொடர்பாடல் உபகரணங்களைப் எவரும் கொண்டுவர பொதுவாக அனுமதிப்பதில்லை.,viḍudhalaip puligaḷ thamadhŭ kaṭṭuppāṭṭup pagudhikkuth thoḍarbāḍal ubagaraṇaṅgaḷaip yevarum koṇḍuvara podhuvāga aṉumadhippadhillai.
இந்த ஆசிரியரே இசைக் கோட்பாடுகள் தொடர்பாகவும் அக்காலத்தில் பிரபலமடைந்திருந்த இசையமைப்பாளர்களையும் டுவோராக்கிற்கு அறிமுகம் செய்து வைத்தார்.,indha āsiriyarē isaik kōṭpāḍugaḷ thoḍarbāgavum akkālathil pirabalamaḍaindhirundha isaiyamaippāḷargaḷaiyum ṭuvōrākkiṟkŭ aṟimugam cheydhŭ vaithār.
தற்போது மகாத்மா காந்தி அருங்காட்சியகமாக விளங்கும் தமுக்கம் அரண்மனையே இராணி மங்கம்மாளின் கோடைக்கால அரண்மனையாகும்.,thaṟpōdhŭ magāthmā kāndhi aruṅgāṭchiyagamāga viḷaṅgum thamukkam araṇmaṉaiyē irāṇi maṅgammāḷiṉ kōḍaikkāla araṇmaṉaiyāgum.
"நாம் பங்குஅறுவடை (share cropping) சமுதாயமாவதைப் பற்றித்தான், நாம் வீழ்வதால் ஏற்படும் ஆத்திரத்தைப் பற்றித் தான் நாம் பயப்பட வேண்டியிருக்கிறது’ என்று அவர் எழுதினார்.","nām paṅguaṟuvaḍai (share cropping) chamudhāyamāvadhaip paṯṟithāṉ, nām vīzhvadhāl yēṟpaḍum āthirathaip paṯṟith thāṉ nām payappaḍa vēṇḍiyirukkiṟadhu’ yeṉḏrŭ avar yezhudhiṉār."
அவர் நேரடியாக பார்ப்பதை அப்படியே அதே வண்ணத்துடன் இயற்கையாக காட்சியளிக்க மிகவும் கஷ்டப்பட்டார்.,avar nēraḍiyāga pārppadhai appaḍiyē adhē vaṇṇathuḍaṉ iyaṟkaiyāga kāṭchiyaḷikka migavum kashḍappaṭṭār.
அவருடைய 1954 ஆம் ஆண்டு வெளியீடு பரவலாக கவனத்தை ஈர்க்கவில்லை.,avaruḍaiya 1954 ām āṇḍŭ veḷiyīḍŭ paravalāga kavaṉathai īrkkavillai.
"இதனால் இக் கட்டிடத் தொகுதி, வேறு எங்கும் காணப்படாத வகையில், பாரிய அளவு கொண்டதாகவும், சிக்கலானதாகவும், பல்வகைமை கொண்டதாகவும் அமைய உதவியது.","idhaṉāl ik kaṭṭiḍath thogudhi, vēṟŭ yeṅgum kāṇappaḍādha vagaiyil, pāriya aḷavŭ koṇḍadhāgavum, chikkalāṉadhāgavum, palvagaimai koṇḍadhāgavum amaiya udhaviyadhu."
ஒரு வகைக்கெழுச் சமன்பாட்டில் வெளிப்படையாகவோ அல்லது மறைமுகமாகவோ ஒரேயொரு சாராமாறி மட்டுமே இடம்பெறுமானால் அச்சமன்பாடு சாதாரண வகைக்கெழுச் சமன்பாடு எனப்படும்.,orŭ vagaikkezhuch chamaṉbāṭṭil veḷippaḍaiyāgavō alladhŭ maṟaimugamāgavō orēyorŭ chārāmāṟi maṭṭumē iḍambeṟumāṉāl achamaṉbāḍŭ chādhāraṇa vagaikkezhuch chamaṉbāḍŭ yeṉappaḍum.
எனினும் பெருமக்கள் பல்வேறு வகையான பொருட்களையும் சேவைகளையும் நுகர்வதற்கான வசதி தொழிற்புரட்சியினால் 18-19 ம் நூற்றாண்டுகளில் ஏதுவானது.,yeṉiṉum perumakkaḷ palvēṟŭ vagaiyāṉa poruṭkaḷaiyum chēvaigaḷaiyum nugarvadhaṟkāṉa vasadhi thozhiṟpuraṭchiyiṉāl 18-19 m nūṯṟāṇḍugaḷil yēdhuvāṉadhu.
1948-ல் கொரியா நாட்டில் இருந்து பிரிந்து இந்நாடு உருவானது.,1948-l koriyā nāṭṭil irundhŭ pirindhŭ innāḍŭ uruvāṉadhu.
ரோமப் பேரரசின் முடிவு காலம் கிட்டத்தட்ட செப்டம்பர் 4 கிபி 476 ஆகக் கணிக்கப்பட்டுள்ளது.,rōmap pērarasiṉ muḍivŭ kālam kiṭṭathaṭṭa chepṭambar 4 kibi 476 āgak kaṇikkappaṭṭuḷḷadhu.
நகரத்தினுள் போக்குவரத்து நெரிசலைத் தவிர்க்க துணை புறநகர் பேருந்து நிலையங்கள் 80 கோடி செலவு மதிப்பீட்டில் வேளச்சேரியிலும் மாதவரத்திலும் கட்டப்படத் திட்டமிடப்படுள்ளன.,nagarathiṉuḷ pōkkuvarathŭ nerisalaith thavirkka thuṇai puṟanagar pērundhŭ nilaiyaṅgaḷ 80 kōḍi chelavŭ madhippīṭṭil vēḷachēriyilum mādhavarathilum kaṭṭappaḍath thiṭṭamiḍappaḍuḷḷaṉa.
"எனினும் இவரது தகுதிக்கு அதிகமானதாகவே, இவரது சபையில் பல புகழ் பெற்ற உருதுப் புலவர்கள் இருந்தனர்.","yeṉiṉum ivaradhŭ thagudhikkŭ adhigamāṉadhāgavē, ivaradhŭ chabaiyil pala pugazh peṯṟa urudhup pulavargaḷ irundhaṉar."
'ழ்' வடிவக் கட்டடத்தில் மொழிப்புலம் செயல்பட்டுவருகிறது.,'zh' vaḍivak kaṭṭaḍathil mozhippulam cheyalbaṭṭuvarugiṟadhu.
ஆனால் மிக சிறந்த தடுப்பானாக செயல்பட கூடியது.,āṉāl miga chiṟandha thaḍuppāṉāga cheyalbaḍa kūḍiyadhu.
இவ்வமைப்பில் அப்போது அகதிகளாக இடம்பெயர்ந்த மாணவர்கள் அங்கத்தவர்களாயிருந்தனர்.,ivvamaippil appōdhŭ agadhigaḷāga iḍambeyarndha māṇavargaḷ aṅgathavargaḷāyirundhaṉar.
அதன் விரிவாக்கம் ஒன்று அல்லது அதற்கு மேற்பட்ட தலைமுறைகளுக்குத் தொடர்ந்தது.,adhaṉ virivākkam oṉḏrŭ alladhŭ adhaṟkŭ mēṟpaṭṭa thalaimuṟaigaḷukkuth thoḍarndhadhu.
"இந்த இசைக்கருவியை அறியும் முன் ஷக்கீரா, பேர்ஃபுட் எனப்படும் நடனத்தை மேசையில் அரங்கேற்றினார்.","indha isaikkaruviyai aṟiyum muṉ shakkīrā, pērஃbuṭ yeṉappaḍum naḍaṉathai mēsaiyil araṅgēṯṟiṉār."
இந்த நினைவுச் சின்னத்தை தொடக்கத்தில் ஈபெல் கோபுரம் தலைகீழாக அமைந்தது போன்ற ஒரு வடிவத்தில் அமைக்க ஆலோசிக்கப்பட்டது.,indha niṉaivuch chiṉṉathai thoḍakkathil ībel kōburam thalaigīzhāga amaindhadhŭ pōṉḏra orŭ vaḍivathil amaikka ālōsikkappaṭṭadhu.
பாபாவின் சீடர்கள் தாம் ஏமாற்றப்பட்டதை உணர்ந்து கொள்கின்றனர்.,pābāviṉ chīḍargaḷ thām yēmāṯṟappaṭṭadhai uṇarndhŭ koḷgiṉḏraṉar.
"பலமனைவி மணம் பரந்த அளவில் உலகில் கைக்கொள்ளப்பட்டு வருவதற்கான காரணங்களை ஆராய்ந்த மானிடவியலாளர்கள், பலவிதமான கருத்துக்களை முன்வைத்துள்ளனர்.","palamaṉaivi maṇam parandha aḷavil ulagil kaikkoḷḷappaṭṭŭ varuvadhaṟkāṉa kāraṇaṅgaḷai ārāyndha māṉiḍaviyalāḷargaḷ, palavidhamāṉa karuthukkaḷai muṉvaithuḷḷaṉar."
"தொன்மாக்கள் வாழ்ந்த பொழுது தரைநிலப்பகுதிகள் கண்டங்களாக பிரிந்து நகரத் தொடங்கிய பொழுதும், இயற்கையாக அமைந்த நிலப்பாலங்கள் வழி தொன்மாக்கள் அன்றிருந்த தரைநிலம் முழுவதும் திரிந்தன.","thoṉmākkaḷ vāzhndha pozhudhŭ tharainilappagudhigaḷ kaṇḍaṅgaḷāga pirindhŭ nagarath thoḍaṅgiya pozhudhum, iyaṟkaiyāga amaindha nilappālaṅgaḷ vazhi thoṉmākkaḷ aṉḏrirundha tharainilam muzhuvadhum thirindhaṉa."
